Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Acute_Survivor_20._STARpass1			23.32	3223386.0					
Acute_Survivor_20_1					89.2318867278517	53.0	119.61799595198384	30.0	13820597.0
Acute_Survivor_20_2					87.27155007491407	52.0	118.74740331405366	40.0	13820597.0
Acute_Survivor_21	56.70055781221722	1444318	5.63	1273723.0					
Acute_Survivor_21._STARpass1			5.43	1227954.0					
Acute_Survivor_21_1					94.11297055130042	57.0	119.45597626061631	30.0	22611539.0
Acute_Survivor_21_2					93.05266205579892	56.0	118.66994015754523	40.0	22611539.0
Acute_Survivor_22	32.90920902191058	2488883	20.11	3781703.0					
Acute_Survivor_22._STARpass1			20.8	3910432.0					
Acute_Survivor_22_1					88.06310890876375	54.0	117.606793664043	20.0	18804168.0
Acute_Survivor_22_2					86.57475411014187	53.0	116.98986511926505	40.0	18804168.0
Acute_Survivor_23	24.385834387322372	65554	22.94	134425.0					
Acute_Survivor_23._STARpass1			22.98	134655.0					
Acute_Survivor_23_1					78.24838831962774	52.0	120.66138781472596	30.0	585986.0
Acute_Survivor_23_2					72.12858646710706	51.0	119.705071452219	30.0	585986.0
Acute_Survivor_27	7.793234413382828	1733641	47.71	11124411.0					
Acute_Survivor_27._STARpass1			47.66	11113264.0					
Acute_Survivor_27_1					86.85709709828629	47.0	116.22070921754651	20.0	23317105.0
Acute_Survivor_27_2					84.77208685889781	47.0	115.56551175628364	10.0	23317105.0
Acute_Survivor_28	44.96270341129242	10697280	9.36	11896568.0					
Acute_Survivor_28._STARpass1			9.3	11817920.0					
Acute_Survivor_28_1					95.51670593349785	56.0	120.19873141053436	30.0	127098328.0
Acute_Survivor_28_2					94.35506514133147	55.0	118.86101829758138	40.0	127098328.0
Acute_Survivor_29	29.193524139069826	592268	10.19	1014450.0					
Acute_Survivor_29._STARpass1			10.15	1010457.0					
Acute_Survivor_29_1					91.66196551256706	55.0	120.1134105321097	40.0	9959657.0
Acute_Survivor_29_2					90.96983433472661	54.0	119.51634478978544	40.0	9959657.0
Acute_Survivor_2_1					85.302746234762	54.0	116.85516628326184	30.0	26193376.0
Acute_Survivor_2_2					83.82545771597746	53.0	115.61417634748571	40.0	26193376.0
Acute_Survivor_30	49.5997472625971	1552731	5.5	1565355.0					
Acute_Survivor_30._STARpass1			5.33	1517408.0					
Acute_Survivor_30_1					94.18014331143019	57.0	120.04500121157568	40.0	28471189.0
Acute_Survivor_30_2					93.63362822177116	56.0	119.47670538100814	40.0	28471189.0
Acute_Survivor_31	52.50914824799457	4562857	9.21	4345368.0					
Acute_Survivor_31._STARpass1			9.1	4294052.0					
Acute_Survivor_31_1					94.23756395291528	55.0	116.96475604921712	40.0	47162136.0
Acute_Survivor_31_2					92.82059812151614	54.0	115.55668148703019	40.0	47162136.0
Acute_Survivor_32	24.856541003849784	34220	6.44	68877.0					
Acute_Survivor_32._STARpass1			6.35	67951.0					
Acute_Survivor_32_1					65.69317618857247	55.0	123.55240685407419	20.0	1069612.0
Acute_Survivor_32_2					44.71974673395067	54.0	114.68566265150353	30.0	1069612.0
Acute_Survivor_35	18.743226930410568	109309	24.11	291630.0					
Acute_Survivor_35._STARpass1			24.36	294618.0					
Acute_Survivor_35_1					83.69281099000878	51.0	114.89897926874737	30.0	1209623.0
Acute_Survivor_35_2					80.6560221475923	50.0	114.1560072849144	40.0	1209623.0
Acute_Survivor_36	44.21218128665744	1872003	11.65	2120473.0					
Acute_Survivor_36._STARpass1			11.79	2144923.0					
